pm_name,n,mean_npp_obs,mean_npp_pred,mean_resid,sd_resid,rmse
Marine,14966,7578.29926364844,7563.0220720459,15.2771916025412,568.472338866954,568.658596736795
Organic,1142,7428.34017485914,7444.84043697687,-16.5002621177333,299.089997759635,299.414017186246
Other,2920,6591.18371435205,6603.56584519016,-12.3821308381094,332.567620333456,332.741133807492
Lacustrine,226,6526.39996087654,6552.45544485144,-26.0554839748976,529.013066419824,528.484074504328
Residuum,17663,6489.82493795691,6488.66104435178,1.16389360513208,414.534875008036,414.524774268103
Alluvial,9894,6277.03095109441,6306.24588970165,-29.2149386072365,553.241284257912,553.98420170337
Eolian,2685,6251.28572680039,6246.84267005475,4.44305674563823,565.429032058471,565.341187625438
Colluvium,3171,6094.97437296353,6089.07375041115,5.90062255237367,560.548274213212,560.490941119427
Glacial,4463,5837.65110294193,5819.15679760511,18.4943053368124,582.907773379,583.135814900329
Volcanic,266,4649.59309583256,4682.05946509818,-32.4663692656188,654.532739452073,654.107480891059
