pm_factor,n,mean_hurdat,mean_resid,n_exposed,r_hurdat_resid
Marine,5584,1.13180515759312,-0.179097456452349,3136,-0.019157099627315
Eolian,1717,0.426907396622015,-0.273281133528793,355,-0.0370300020747546
Alluvial,5859,0.300563236047107,0.094777307321009,1022,-0.0701306146664799
Organic,287,0.285714285714286,-0.223882252403909,34,0.0292846673283403
Other,742,0.188679245283019,0.584573535809813,84,-0.0571865023072051
Residuum,9852,0.0993706861550954,-0.00487199146036533,826,0.0339208807809083
Lacustrine,190,0.0368421052631579,-0.434045419257213,7,0.0185850393336261
Colluvium,2789,0.0222301900322696,-0.192002374891501,59,0.0277073886367346
Glacial,4225,0.0175147928994083,0.20603198441137,73,0.0415657279240118
Volcanic,218,0,-0.338609887863614,0,
