STATECD,state,n,r_esi_bgi,r_esi_asym,r_bgi_asym,mean_cspi
37,NC,9405,0.013,-0.028,0.519,39.1
8,CO,8289,0.3,-0.172,0.111,32.7
30,MT,7521,0.34,-0.432,-0.167,33.5
48,TX,5945,0.184,0.044,0.337,37.1
16,ID,5103,0.526,-0.173,0.037,38.7
4,AZ,3751,0.243,0.11,0.47,39.5
49,UT,3504,0.231,-0.063,0.264,32.1
56,WY,3484,0.209,-0.2,0.136,31.8
51,VA,3248,0.275,-0.25,-0.319,45.3
28,MS,2743,0.139,-0.134,0.141,37.5
35,NM,2080,0.256,0.043,0.46,35.8
5,AR,1448,0.417,-0.327,-0.429,31.5
1,AL,1356,0.08,-0.122,0.06,33.4
40,OK,1110,0.257,-0.364,-0.802,30.2
27,MN,946,0.306,0.188,0.908,30.4
