mukey,ssurgo_si_ft,ssurgo_si_base,n_components,ssurgo_si_m
332382,98.0588235294118,,3,29.8883294117647
320839,81.2631578947369,,9,24.7690105263158
1539692,91.6959247648903,,3,27.9489178683386
1479416,80.9268292682927,,3,24.6664975609756
373814,81.1428571428571,,2,24.7323428571429
323991,68.6666666666667,,2,20.9296
1407296,64.8827586206897,,6,19.7762648275862
1544121,74.3,,5,22.64664
324018,81.4788273615635,,9,24.8347465798046
2760751,90.55,,3,27.59964
323380,73.3606557377049,,7,22.3603278688525
1414055,75.2293577981651,,9,22.9299082568807
323151,74.7435897435897,,4,22.7818461538462
1444904,77.0738255033557,,10,23.4921020134228
1424930,75.75,,7,23.0886
332410,84.1808510638298,,4,25.6583234042553
1603135,53.1081081081081,,2,16.1873513513514
328115,76.1481481481482,,2,23.2099555555556
631618,80.6448598130841,,5,24.580553271028
332426,86.7365728900256,,6,26.4373074168798
1421197,84.8067632850242,,7,25.8491014492754
132819,91.7592592592593,,4,27.9682222222222
1421098,75.8171206225681,,5,23.1090583657588
1586110,105.25,,2,32.0802
575606,84,,1,25.6032
1444909,76,,3,23.1648
321089,76.4285714285714,,5,23.2954285714286
1023321,83.9897260273973,,6,25.6000684931507
332448,80.5625,,2,24.55545
1415799,93.1578947368421,,2,28.3945263157895
1481040,72.89,,3,22.216872
2888246,83.4,,1,25.42032
576212,88.5,,1,26.9748
1542286,100,,2,30.48
1544152,76.2037037037037,,7,23.2268888888889
3103009,64.3697749196141,,6,19.6199073954984
886564,75,,4,22.86
1424912,76.3468013468014,,7,23.2705050505051
3045899,58.2105263157895,,7,17.7425684210526
797487,77.7333333333333,,5,23.69312
321819,74.8076923076923,,3,22.8013846153846
1454457,73.2978723404255,,2,22.3411914893617
1425209,72.8,,8,22.18944
2888260,84.1935483870968,,2,25.6621935483871
797486,81.4651162790698,,5,24.8305674418605
3236274,57.8181818181818,,5,17.6229818181818
1384094,65.9057971014493,,9,20.0880869565217
1477068,56.0049261083744,,5,17.0703014778325
823769,75.45,,4,22.99716
2888466,91.5363636363636,,5,27.9002836363636
1413678,89.6772151898734,,4,27.3336151898734
326998,84.6807980049876,,4,25.8107072319202
823520,104.117647058824,,2,31.7350588235294
323628,74.875,,6,22.8219
700473,89.0606060606061,,3,27.1456727272727
700492,76.7766666666667,,5,23.401528
1472749,83.231746031746,,5,25.3690361904762
1542298,100,,2,30.48
2888395,93.92,,2,28.626816
1544122,65.553488372093,,5,19.980703255814
1454451,83.28125,,3,25.384125
379687,93.9666666666667,,3,28.64104
1399041,73.7233009708738,,6,22.4708621359223
886602,82.864768683274,,7,25.2571814946619
367411,90,,1,27.432
1407309,73.4160839160839,,5,22.3772223776224
886562,75.08,,5,22.884384
1444898,76.3125,,4,23.26005
323389,65.8947368421053,,2,20.0847157894737
332442,84.6129032258065,,4,25.7900129032258
1381586,80.5162162162162,,5,24.5413427027027
576213,88.5,,1,26.9748
797462,84.7377049180328,,6,25.8280524590164
1477087,83.8888888888889,,3,25.5693333333333
1151432,60.8412698412699,,6,18.5444190476191
1413465,62.9898648648649,,6,19.1993108108108
1483859,63.2987012987013,,5,19.2934441558442
323677,68.3795811518325,,8,20.8420963350785
1413674,82.875,,3,25.2603
1407011,64.735064935065,,5,19.7312477922078
1399054,89.2847682119206,,5,27.2139973509934
2888356,91.9259259259259,,5,28.0190222222222
1425217,67.4383561643836,,5,20.5552109589041
1481006,82.3309090909091,,3,25.0944610909091
1414075,76.6932270916335,,13,23.3760956175299
1586100,86.1696750902527,,4,26.264516967509
1023349,78.0766666666667,,4,23.797768
321095,69,,3,21.0312
1421115,81.85,,4,24.94788
132837,70.2766666666667,,5,21.420328
320681,60.8859416445623,,7,18.5580350132626
2888325,91.5363636363636,,5,27.9002836363636
1536504,95.4495412844037,,6,29.0930201834862
2888300,91.5363636363636,,5,27.9002836363636
323405,64.735064935065,,5,19.7312477922078
324047,89.7680412371134,,6,27.3612989690722
640604,84.6173469387755,,8,25.7913673469388
1529430,59.4870689655172,,5,18.1316586206897
1380340,68.7565217391304,,5,20.956987826087
