plot_key,SI_gada_plot,SI_gada_n,n_species
44.0028_-123.8859,34.0248486351169,16,1
40.0342_-123.9074,25.4964014241781,10,1
45.039_-121.8937,29.6719062333889,12,1
36.1886_-105.5611,12.0248892544905,4,1
41.1815_-106.4456,13.0480486251389,4,1
43.6132_-122.8992,33.2843912799284,15,1
33.3748_-108.3811,17.7656710211499,5,1
47.7157_-121.4303,34.5388423026251,10,1
42.4095_-105.6679,10.2175763301705,4,1
37.8493_-106.9981,15.6800910538248,5,2
48.9046_-121.8465,48.3523421040287,10,1
43.9121_-119.3141,13.7246553022157,4,1
43.2629_-122.589,28.9982883922466,10,1
48.01_-118.5705,20.4110858451717,6,1
45.4367_-123.5562,35.3268304842676,5,1
45.3848_-112.8269,12.3545028954123,4,1
43.8282_-123.7689,34.8306749112191,30,1
43.9314_-123.9145,52.2163075807029,2,1
46.6827_-121.5325,23.9389976189868,40,1
44.9124_-121.9891,18.8383847520826,6,1
45.482_-123.3942,39.7205374597329,20,1
42.4575_-123.7036,33.3241870682462,11,1
44.6912_-122.0744,35.0337781428168,28,1
47.3017_-115.6279,25.7487046429156,3,1
48.897_-121.909,44.320565489575,14,1
44.5598_-118.6222,26.6276835985641,1,1
46.5287_-114.7208,20.9986763296254,6,1
50.0754_-125.5855,36.0468411634965,4,1
44.2753_-114.4263,11.3536727270298,4,1
38.6501_-123.0661,27.6254838665879,14,1
41.7036_-124.0366,24.2040647175835,33,1
46.4306_-123.5828,33.2315223339504,32,1
46.7145_-115.2371,33.0414062736919,4,1
46.342_-123.3773,25.8903855327919,30,1
46.7893_-123.6581,32.3008520520891,15,1
41.8721_-123.5578,24.0845763589334,14,1
47.7993_-122.965,25.3869296977178,5,1
39.766_-122.8171,17.0060436736544,5,1
39.3188_-105.1559,11.9835616100839,6,1
42.3997_-122.0709,26.1254273161816,6,1
42.3124_-124.3795,36.7592076378288,27,1
45.261_-123.8642,32.5600365880048,21,1
42.6251_-122.3981,26.1166642783892,19,1
47.7246_-122.9985,38.2011388363534,10,1
48.8809_-119.0415,18.3770786245251,7,1
41.6527_-124.0421,25.4692344008773,11,1
48.8448_-122.1699,45.4211074635907,7,1
48.2643_-121.7861,38.3823946069597,17,1
47.9203_-114.7133,18.4380656758834,6,1
45.8457_-121.8353,37.9451001376742,6,1
47.9883_-124.1029,31.0576178190157,15,1
42.4815_-113.007,21.6907847398969,4,1
39.4789_-110.1849,8.92012904338326,2,1
43.4821_-123.9701,35.5078503680631,15,1
44.0195_-119.2779,17.9567146959773,6,1
43.0713_-123.101,30.295592182726,5,1
43.291_-122.6303,29.1754572421219,21,1
48.8624_-117.2889,21.0215749117848,9,1
42.1585_-123.5143,26.1555007821038,13,1
48.9154_-117.8817,25.506158943012,6,1
43.3967_-124.1656,40.4019276882682,11,1
46.2339_-115.7668,37.9939085720176,4,1
47.9951_-117.4309,24.7309152462247,8,1
45.962_-110.4182,16.6259824717029,4,1
46.393_-114.5936,19.7139492996872,1,1
43.9051_-122.215,28.8505419181143,15,1
46.074_-123.2132,37.0160940351271,12,1
39.4559_-123.692,36.4378559078283,10,1
46.8153_-116.1332,25.7637254567718,5,1
46.2952_-123.7391,27.3371915398603,7,1
48.9329_-118.291,26.4677696665751,6,1
48.3554_-118.6295,20.1077441813175,13,1
44.6475_-109.4862,19.0111190052155,1,1
42.8965_-109.6449,15.1516897389402,6,2
44.7263_-121.6651,21.1411081655333,6,1
42.6979_-122.3025,27.5108012137815,7,1
47.3534_-120.5351,29.1969321075127,6,1
42.4004_-123.4933,28.2121542725336,5,1
47.0251_-123.6229,24.7972145893434,20,1
43.3349_-123.5737,29.4086885051112,15,1
45.458_-123.5955,38.7848595075829,5,1
38.9833_-105.1739,12.7007446769039,6,1
40.5969_-123.0201,31.4142673080182,4,1
45.4185_-121.8092,24.8359022917952,9,1
38.835_-105.2045,12.2828373091681,8,1
45.5939_-122.8294,36.4520880567449,16,1
42.3479_-124.0917,40.2477312226964,8,1
34.3066_-107.879,15.5020125133082,2,1
47.6795_-121.7886,37.2463415810313,7,1
42.7449_-124.3065,19.3639100875103,6,1
36.3588_-109.1085,14.1668263192467,2,1
44.4467_-123.8238,51.1117839784006,15,1
45.2996_-123.5142,34.5937695209779,19,1
43.4166_-122.8478,30.7528959007529,15,1
45.5259_-114.1855,19.8126660827058,4,1
47.0903_-111.1354,9.46095730896559,6,1
45.7415_-123.0278,33.4422585222441,22,1
48.7987_-122.0231,25.9281606478873,30,1
46.3781_-123.4901,26.3174969764432,6,1
38.6817_-122.4947,23.4241708464226,6,1
46.6489_-113.7346,15.8869006690033,4,1
45.4299_-121.9493,24.281212684372,6,1
38.1858_-106.1574,10.6544934946017,8,2
47.9861_-116.2706,15.3007295816278,3,1
40.7708_-121.9944,22.0616218216836,1,1
46.9088_-116.6018,26.402430475188,6,1
40.9676_-109.9427,11.912374169932,4,1
43.1926_-122.5946,23.941903496532,3,1
43.1686_-122.8303,25.1811716474176,30,1
38.6238_-122.7653,42.4191344994059,15,1
46.3885_-113.5299,16.6058165166629,4,1
48.4893_-118.925,24.0935844396184,6,1
47.8978_-116.2516,20.5316963740361,4,1
42.9946_-123.9192,50.1573563048358,13,1
45.0708_-116.8829,24.5041019064462,9,1
40.3352_-105.4151,10.5739867205853,5,2
47.1264_-109.2848,14.2068174861752,2,1
44.2567_-119.1965,21.4763546037068,5,1
38.609_-107.0679,10.7558502006983,4,1
42.2305_-124.1605,19.5729396874795,10,1
46.6135_-123.6061,26.8293478199437,42,1
45.7386_-117.2348,29.4766203424816,21,1
45.7245_-116.6334,27.588626245572,4,1
46.5671_-121.9284,34.2380920897558,30,1
42.6118_-124.3356,21.3620499586828,10,1
46.9199_-113.8898,12.3555162382159,4,1
45.927_-122.081,21.6448469163096,3,1
44.4671_-115.0502,10.3336637559761,4,1
45.0351_-122.2022,28.7636328734313,20,1
48.8535_-122.0979,23.1306544184297,7,1
40.0244_-111.059,16.688033893851,14,2
46.1029_-122.7097,27.1062805713704,15,1
42.2039_-124.1882,18.2911536759001,10,1
42.6479_-123.832,38.9900093314467,6,1
43.0918_-122.9313,31.083898372967,4,1
42.6443_-124.2668,29.9059248204275,34,1
46.2057_-114.5336,18.2478530703044,5,1
47.0579_-114.2357,20.5268432724448,4,1
40.5533_-123.3265,20.1601042146482,4,1
39.5081_-105.4299,9.1009625631225,8,1
43.6865_-114.4601,22.3011724132716,6,1
45.9478_-112.8137,18.5890596561887,4,1
43.8998_-119.4566,18.6981997069409,4,1
42.0068_-123.5273,23.4696776384764,9,1
44.6689_-123.5848,32.5490298408132,13,1
45.7634_-121.6404,29.1354682960597,18,1
44.9036_-121.3575,24.4866799837131,4,1
46.9141_-114.2501,15.4783474414361,4,1
44.0515_-123.9549,50.5311603134384,45,1
35.8643_-106.6079,18.1108611426824,1,1
42.6457_-124.1334,32.341197360671,9,1
40.3902_-122.9131,25.1262947895465,6,1
48.6793_-120.477,23.3786008470544,6,1
41.245_-123.6612,27.7002067207763,6,1
38.5076_-108.6449,10.786764683485,3,1
43.1884_-123.0338,25.1163517966145,26,1
33.8372_-109.2134,15.2194014805294,7,2
