comparison,r,ci_lo.2.5%,ci_hi.97.5%,n
raw_SICOND_ESI,-0.078,-0.089,-0.068,43964
raw_SICOND_BGI,0.739,0.734,0.744,43964
sub50_SICOND_ESI,0.418,0.403,0.434,30026
sub50_SICOND_BGI,0.473,0.461,0.484,30026
proj_SICOND_ESI,0.482,0.468,0.495,34794
proj_SICOND_BGI,0.447,0.436,0.457,34794
SSURGO_esi,-0.195,-0.202,-0.188,87404
SSURGO_bgi_v,0.629,0.624,0.633,87404
SSURGO_asym_v,-0.205,-0.209,-0.199,87404
SSURGO_npp_v,0.138,0.131,0.145,87404
SSURGO_SICOND_m,0.64,0.633,0.647,25002
GADA_esi,0.659,0.649,0.669,17114
GADA_bgi_v,0.434,0.421,0.449,17114
GADA_asym_v,-0.141,-0.159,-0.123,17114
GADA_npp_v,-0.041,-0.056,-0.025,17114
GADA_SICOND_m,0.615,0.603,0.627,16032
