gid,n,w_esi,w_bgi,w_asym
10.1.3,349,2.41091989471554,0.222326699984719,0.366753405299741
10.1.4,248,2.84784332919883,0.0615819423965607,-0.0905747284046056
10.1.5,188,2.59752359232547,0.229261085322496,0.173215322352034
10.1.6,603,2.77873797897365,0.0885801234371844,0.132681897589166
10.1.7,306,2.8348887134934,0.109351925193514,0.0557593613130823
11.1.3,111,1.80461467069516,-0.257720270588514,-0.937665058716329
13.1.1,4231,2.55481663451078,0.231488310482041,0.213695055007183
5.2.1,1855,1.95408498452632,0.459533112440045,0.586381903033634
5.2.2,364,2.1777697918178,0.510302389291858,-0.311927818890341
5.3.1,362,1.12846261300027,1.50954181121283,0.3619955757869
6.2.10,6546,2.54680011912865,0.0592815047347711,-0.393918376136577
6.2.11,342,2.37802700789676,0.12807796355325,-0.493895028549989
6.2.12,1995,-1.2641854665441,-0.195723494797262,1.54009103865864
6.2.13,2977,2.72032336400673,0.138513246487463,-0.14116338950581
6.2.14,9909,2.67133260310732,0.129741201290186,-0.198926195602491
6.2.15,3301,2.46686703346175,0.317747859949426,-0.215385106588821
6.2.3,2968,2.54245831937416,0.296304656359235,-0.161237024266604
6.2.4,1109,2.4596708242702,0.0543437907578314,-0.485985384971964
6.2.5,459,1.51748064643947,-0.225026075040926,-1.2574932785196
6.2.7,688,1.74581182857278,0.589682115075413,-0.664506056351805
6.2.8,1711,2.67095402561951,0.258158462434337,-0.0708875119461484
6.2.9,1347,2.55021024849724,0.32319960911838,-0.126590142384381
8.1.1,381,2.50367098340319,0.107329222108345,-0.38899979448846
8.1.10,291,2.67396217928771,-0.218737558029872,0.107300262682419
8.1.3,956,2.42851894154094,-0.0840814257429226,-0.487399632716133
8.1.4,500,-0.028863392466401,1.44924589190456,1.52189071562904
8.1.5,341,2.73052690262737,0.108689601977589,-0.160783495395039
8.1.6,105,2.75458999206447,-0.0561730190943855,0.189236988841142
8.3.1,770,1.82716765628118,-0.073463627953688,-1.09936871576513
8.3.4,10138,0.0107546150365552,-0.21884958799978,2.77039579696367
8.3.5,13618,0.439655898604696,0.455729018643621,2.10461508275168
8.3.6,1091,2.63568959686622,0.174812501007392,-0.189497902126385
8.3.7,14606,0.920510690415406,0.587813192257688,1.49167611732691
8.3.8,547,-0.529499886178292,1.50990836149936,0.960591752322353
8.4.1,4089,-0.358777747952716,-0.275316604376229,2.36590564767106
8.4.2,2388,-1.0338406386776,-0.0397434986998768,1.92641586262252
8.4.3,2614,2.68318804068928,0.0212757036615268,-0.295536255649194
8.4.4,1545,1.7512337800431,0.0773131784184132,1.17145304153848
8.4.5,1230,-0.138281005224022,-0.051052041059527,2.81066695371645
8.4.6,867,-0.484385940797556,0.391872400904421,2.12374165829802
8.4.7,779,1.71479476760929,0.477229693119227,-0.807975539271481
8.4.8,1886,1.27523243319153,0.818664342631696,-0.906103224176769
8.4.9,314,2.37936938856443,-0.0152435152603635,-0.60538709617521
8.5.1,8040,2.79340475020123,0.103987448351653,-0.102607801447114
8.5.2,358,2.80985993437371,-0.0574936268525545,-0.13264643877374
8.5.3,1479,0.147033394569553,0.295549939063142,2.55741666636731
9.2.3,279,1.44414923237945,1.23319863927858,0.322652128341976
9.2.4,209,2.36235249113795,-0.375316342902845,-0.262331165959204
9.3.3,1206,2.68530778091624,-0.108616379730555,-0.206075839353204
9.5.1,269,1.14030627861994,-0.634862450433588,1.22483127094647
