dstrb_grp,n,mean_esi,mean_bgi,mean_asym,r_esi_bgi,r_esi_asym,r_bgi_asym
0 None,34658,32.57,1.35,247.6,-0.53,0.021,-0.185
30 Fire,5122,34.15,1.23,246.1,-0.566,0.243,-0.341
10 Insect,3216,34.55,0.93,248.7,-0.103,-0.163,-0.065
20 Disease,2964,38.44,1,248.8,0.207,-0.084,0.026
50 Weather,676,32.88,1.22,241.8,-0.565,0.37,-0.723
80 Geologic,496,32.94,1.49,246.5,-0.715,0.305,-0.287
Other,384,33.64,1.15,249.4,-0.315,-0.322,0.409
60 Veg suppression,276,37.83,0.91,249.6,-0.092,0.002,-0.099
40 Animal,180,35.57,1.34,249.9,-0.67,-0.133,0.103
70 Human,20,36.79,0.91,249.4,0.243,0.102,-0.17
