L1,n,mean_resid,sd_resid,target
EASTERN TEMPERATE FORESTS,42580,0.89,484.2,npp_obs
NORTHWESTERN FORESTED MOUNTAINS,10726,9.68,600.3,npp_obs
NORTHERN FORESTS,1401,29.05,453.6,npp_obs
TEMPERATE SIERRAS,1109,-7.23,512.7,npp_obs
GREAT PLAINS,989,-60.65,386.9,npp_obs
NORTH AMERICAN DESERTS,447,-247.43,578.4,npp_obs
MARINE WEST COAST FOREST,53,372.1,749.4,npp_obs
MEDITERRANEAN CALIFORNIA,48,-81.03,944.5,npp_obs
SOUTHERN SEMI-ARID HIGHLANDS,23,-307.41,764.4,npp_obs
TROPICAL WET FORESTS,20,-434.56,1277.6,npp_obs
EASTERN TEMPERATE FORESTS,42583,-3.01,1493,gpp_obs
NORTHWESTERN FORESTED MOUNTAINS,10726,1.27,1506.1,gpp_obs
NORTHERN FORESTS,1401,25.04,1895.3,gpp_obs
TEMPERATE SIERRAS,1109,12.51,1740.6,gpp_obs
GREAT PLAINS,989,-259.84,1929.8,gpp_obs
NORTH AMERICAN DESERTS,447,-469.22,1298.4,gpp_obs
MARINE WEST COAST FOREST,53,509.58,2646.8,gpp_obs
MEDITERRANEAN CALIFORNIA,48,-366.6,1894.4,gpp_obs
SOUTHERN SEMI-ARID HIGHLANDS,23,-458.83,881.8,gpp_obs
TROPICAL WET FORESTS,20,-9.92,3406.6,gpp_obs
EASTERN TEMPERATE FORESTS,31251,0,3.6,ch_m
NORTHWESTERN FORESTED MOUNTAINS,7941,0.04,4.7,ch_m
NORTHERN FORESTS,1219,0.06,3,ch_m
TEMPERATE SIERRAS,961,-0.07,4.6,ch_m
GREAT PLAINS,335,-0.29,3.6,ch_m
NORTH AMERICAN DESERTS,215,-1.51,4.5,ch_m
MARINE WEST COAST FOREST,46,1.12,6.5,ch_m
MEDITERRANEAN CALIFORNIA,19,1.16,6.6,ch_m
SOUTHERN SEMI-ARID HIGHLANDS,12,2.64,6.5,ch_m
TROPICAL WET FORESTS,11,-0.26,9.5,ch_m
EASTERN TEMPERATE FORESTS,33550,-0.27,29.5,agbd_obs
NORTHWESTERN FORESTED MOUNTAINS,10620,-0.11,36.4,agbd_obs
NORTHERN FORESTS,1163,0.79,35.9,agbd_obs
TEMPERATE SIERRAS,1103,0.16,29.2,agbd_obs
GREAT PLAINS,947,-6.29,24.4,agbd_obs
NORTH AMERICAN DESERTS,443,-7.29,31,agbd_obs
MARINE WEST COAST FOREST,53,7.03,117,agbd_obs
MEDITERRANEAN CALIFORNIA,48,-7.8,30.4,agbd_obs
SOUTHERN SEMI-ARID HIGHLANDS,23,12.1,48.8,agbd_obs
TROPICAL WET FORESTS,19,0.42,26.8,agbd_obs
EASTERN TEMPERATE FORESTS,42143,-1.39,271.1,cms_agb16
NORTHWESTERN FORESTED MOUNTAINS,10635,-10.83,697.6,cms_agb16
NORTHERN FORESTS,1391,2.28,271.7,cms_agb16
TEMPERATE SIERRAS,1103,-3.32,234.3,cms_agb16
GREAT PLAINS,974,-60.72,279.2,cms_agb16
NORTH AMERICAN DESERTS,442,-75.29,361.4,cms_agb16
MARINE WEST COAST FOREST,52,-137.52,1349.5,cms_agb16
MEDITERRANEAN CALIFORNIA,48,-79.45,331.2,cms_agb16
SOUTHERN SEMI-ARID HIGHLANDS,22,25.01,407.2,cms_agb16
TROPICAL WET FORESTS,19,69.18,542.7,cms_agb16
EASTERN TEMPERATE FORESTS,42363,1.11,243.6,cms_agbchg
NORTHWESTERN FORESTED MOUNTAINS,10679,7.51,506.7,cms_agbchg
NORTHERN FORESTS,1394,3.55,240.5,cms_agbchg
TEMPERATE SIERRAS,1105,6.2,252.5,cms_agbchg
GREAT PLAINS,980,27.08,223.9,cms_agbchg
NORTH AMERICAN DESERTS,444,39.06,246.5,cms_agbchg
MARINE WEST COAST FOREST,52,185.72,853.1,cms_agbchg
MEDITERRANEAN CALIFORNIA,48,23.94,351.2,cms_agbchg
SOUTHERN SEMI-ARID HIGHLANDS,23,83.39,354.8,cms_agbchg
TROPICAL WET FORESTS,20,19.55,243.2,cms_agbchg
