CLSTR_ID,SAMP_NO,TYPE_CD,PSYU,PSYU_BLK,FIZ,BGC_ZONE,BGC_SBZN,BGC_VAR,BGC_PHAS,SAMP_TYP,BLOWUP,NO_PLOTS,PLOT_DED,REC_ID,IP_UTM,IP_NRTH,IP_EAST,MAP_NO,POLYGON,tp_gpsid,tp_utm,tp_nrth,tp_east,tp_elev,ap_dsc,ap_gpsid,ap_nrth,ap_east,ap_elev,tp_az_ip,tp_dt_ip,DECLIN,tp_az_pn,tp_dt_pn,tie_trno,rp_az_gp,rp_dt_gp,tp_map,ip_map,tp_poly,ip_poly,tp_fltln,ip_fltln,ip_photo,tp_photo,tp_spec,rp_spec,TP_AZ_tr,rP_AZ_tr,TP_DBH,TP_dt_tr,rp_DBH,rp_dt_tr,ip_gpsid,ip_elev,ip_az_pn,ip_dt_pn,ip_az_gp,ip_dt_gp,PLT_SPC,asc_dt,CREW1,CREW2,CREW3,CREW4,ref_tree,INTEG,NORTH,EAST,SOUTH,WEST,RANGE,ECO,CWD,TREES,ECOLGY,NO_PHOTO,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,LOAD_DT,meas_dt,TR_FLDT,TR_OFFDT,EC_FLDT,EC_OFFDT,Tr_NAME,TO_NAME,Tf_name,ER_NAME,EO_NAME,EF_NAME,pho_typ1,pho_typ2,pho_typ3,pho_typ4,pho_typ5,pho_typ6,pho_ind1,pho_ind2,pho_ind3,pho_ind4,pho_ind5,pho_ind6,notes,PROJ_ID
"0221-0051-TO1","0051","TO1","112","0","G","ICH","mw","2",,"V",7,5,5,"023",10,5576221,383333,"082L037",532,"OKI051TP",10,5576257,383345,1431,,"OKI051AP",5577017,383774,1448,202,37,19.5,0,0,9342,0,0,"082L037","082L037","00532","00532","15BCC01027","15BCC01027","62","62","HW","HW",0,269,77.5,0,13.2,2.35,"OKI051PC",1437,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9343,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/23/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0052-TO1","0052","TO1","112","0","G","ICH","mw","2",,"V",9,5,5,"023",10,5557719,406850,"082L019",196,"OKI052TP",10,5557717,406807,1354,,,,,,84,50,19.5,0,0,9340,0,0,"082L019","082L019","00196","00196","no data","no data","n/a","n/a","ACT","HW",0,255,21.4,0,16.5,3.02,"OKI052PC",1383,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9341,"Y","Y","Y","Y","N","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/22/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0053-TO1","0053","TO1","126","0","E","ICH","mk","1",,"V",5,5,5,"023",,,,"082E097",686,"OKI053TP",10,5538267,378850,1180,,,,,,123,295,19.5,0,0,9312,0,0,"082E097","082E097","00686","00686","15BCC01030","15BCC01030","170","170","ACT","BL",0,0,31.1,0,14.4,0.9399999999999999,"NO DATA",,0,0,0,0,50,"04/09/04 00:00:00","TDG","ANS",,,9313,"Y","N","Y","Y","N","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/25/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0054-TO1","0054","TO1","150","0","G","ICH","mw","3",,"F",100.0672412144674,3,3,"023",,,,"082L097",671,"OKI054TP",,,,,,,,,,331,22,19.3,0,0,2967,0,0,"082L097","082L097","00671","00671","15BCC01025","15BCC01025","102","102","CW","HW",0,118,43.8,0,7.3,1.86,"OKI054PC",,0,0,0,0,50,"04/09/04 00:00:00","DLL","CMK",,,9399,"Y","Y","Y","N","Y","N","N","N","Y","N",2,,,,,,,,,,,"04/09/04 00:00:00","06/17/02 00:00:00",,,,,"DERRICK LALONDE",,,"CAM KING",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0055-TO1","0055","TO1","112","0","G","ICH","mw","2",,"V",9,5,5,"023",10,5574080,399372,"082L038",473,"OKI055TP",10,5574114,399470,1385,,"OKI055AP",5574323,399602,1399,249,105,19.5,0,0,9338,0,0,"082L038","082L038","00473","00473","15BCC01027","15BCC01027","56","56","HW","HW",0,169,32,0,27.8,2.34,"OKI055PC",1384,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9338,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/21/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDRIE SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0056-TO1","0056","TO1","124","0","E","ICH","mk","1",,"V",12,2,2,"023",,,,"082E097",538,"OKI056TP",10,,,,,,,,,312,108,19.5,0,0,9323,0,0,"082E097","082E097","00789","00789","15BCC01031","15BCC01031","46","46","CW","CW",0,341,36.1,0,34.5,8.699999999999999,"OKI056PC",,0,0,0,0,50,"04/09/04 00:00:00","TLD","AWS",,,9324,"Y","Y","N","N","N","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/29/02 00:00:00",,,,,"TIM DE GRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0057-TO1","0057","TO1","150","0","G","ICH","wk","1",,"V",9,3,3,"023",10,5639671,395141,"082L088",229,"OKI057TP",10,5639452,395545,542,,,,,,300,469,19.5,0,0,9328,0,0,"082L088","082L088","00244","00229","15BCC01026","15BCC01026","175","175","HW","HW",68,333,37.5,24.75,29.6,3.53,"OKI057PC",623,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9329,"Y","Y","N","N","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/05/02 00:00:00",,,,,"TIM DE GRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0058-TO1","0058","TO1","187","0","D","ICH","mk","1",,"V",9,2,2,"023",11,5519713,343023,"082E085",840,"W060519A",11,5519527,343289,1299,,,,,,320,260,19.5,0,0,7492,,,"082E085","082E085","00784","00840","15BCC01031","15BCC01031","150","150","PLI","SX",0,213,27,0,17,1.5,"W060521A",1297,0,0,11,11.5,50,"04/09/04 00:00:00","WAM","AWI",,,6506,"Y","N","N","Y","N","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","06/05/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0059-TO1","0059","TO1","112","0","G","ICH","wk","1",,"V",12,4,4,"023",10,5594789,403832,"082L049",54,"OKI059TP",10,5595438,403569,847,,,,,,158,729,19.5,0,0,9336,0,0,"082L049","082L049","00068","00054","15BCC01021","15BCC01021","147","147","HW","HW",0,263,31.9,0,18.3,1.63,"OKI059PC",1216,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9337,"Y","Y","Y","N","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/20/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0060-TO1","0060","TO1","112","0","G","ICH","mw","2",,"V",7,4,4,"023",10,5593937,370082,"082L046",48,"OKI060TP",10,5594504,369684,1359,,"OKI060AP",5594544,369684,1391,145,700,19.3,0,0,9262,0,0,"082L046","082L046","00047","00048","15BCC01021","15BCC01021","158","158","FDI","FDI",0,154,32.8,0,20.9,2.55,"OKI060PC",1159,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,9263,"Y","Y","Y","Y","N","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/20/02 00:00:00",,,,,"SCOTT MACKINNON",,,"TYSEN LEBLANC",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
