PROJ_ID,SAMP_NO,UTM_ZONE,UTM_X,UTM_Y,ALB_X,ALB_Y,DD_X,DD_Y
"0371","0011",9,668554,5504675,952059,517425,-126.6639,49.67102
"0371","0012",9,709428,5613718,997303,624739,-126.03815,50.63765
"0371","0013",10,342424,5594898,1055239,608034,-125.22125,50.48485
"0371","0014",9,633097,5540902,918096,555063,-127.14257,50.00556
"0371","0015",10,323012,5538196,1038155,550572,-125.46817,49.96983
"0371","0016",9,641860,5551457,927285,565253,-127.01645,50.09841
"0371","0017",9,638962,5558736,924687,572647,-127.05429,50.16452
"0371","0018",9,634809,5538173,919695,552266,-127.11966,49.98065
"0371","0019",9,666134,5519965,950260,532797,-126.69089,49.80911
"0371","0020",10,324730,5558321,1039055,570751,-125.45345,50.15117
"0371","0021",9,659732,5498023,942970,511138,-126.78878,49.61363
"0371","0022",10,320258,5576201,1033862,588440,-125.52446,50.31049
"0371","0023",9,610985,5558381,896719,573443,-127.44594,50.16724
"0371","0024",9,670532,5505155,954056,517825,-126.63629,49.67478
"0371","0025",10,298203,5611908,1010389,623239,-125.85309,50.62408
"0371","0026",9,714935,5516736,998901,527607,-126.01525,49.76462
"0371","0027",10,315223,5572906,1028967,584942,-125.59348,50.27933
"0371","0028",10,320356,5549100,1035059,561360,-125.51028,50.06702
"0371","0029",9,609607,5550627,895022,565749,-127.46746,50.09778
"0371","0031",9,661884,5501607,945267,514631,-126.75753,49.64528
"0371","0032",10,350967,5598348,1063629,611834,-125.10229,50.51809
"0371","0033",9,608577,5553783,894123,568946,-127.48097,50.12634
"0371","0034",9,664606,5501018,947964,513932,-126.72011,49.63925
"0371","0035",9,640048,5539588,924988,553466,-127.04611,49.99215
"0371","0036",10,295846,5613004,1007991,624239,-125.88697,50.6331
"0371","0037",10,316767,5576443,1030366,588540,-125.57355,50.31159
"0371","0039",9,634020,5533044,918696,547173,-127.13244,49.93471
"0371","0040",10,309188,5608960,1021476,620738,-125.69645,50.6013
"0371","0041",10,332277,5579111,1045748,591838,-125.35711,50.34018
