CLSTR_ID,PLOT,TREE_NO,SPECIES,SP0,TREETYPE,SUIT_HT,SUIT_AGE,DBH,BARK_THK,BARK_PCT,GROW_5YR,GROW_10Y,GROW_20Y,HEIGHT,CR_CL,MEAS_COD,BORED_HT,BORE_AGE,AGE_BASE,AGE_BH,AGE_PRO,AGE_TOT,PHYS_AGE,SI_TREE
"3191-0001-QO1","E","001","HW","H","L","Y","Y",45.1,11,4.878048780487805,13,40,81,34.2,"C","---",1.3,54,"Bore",54,,58.84289800984057,,32.51337890625
"3191-0001-QO1","I","007","HW","H","T","Y","Y",43.5,7,3.218390804597702,11,26,49,29.8,"C","---",1.3,51,"Bore",51,,56.28319157378668,,29.392578125
"3191-0001-QO1","N","005","HW","H","L","Y","Y",46.4,10,4.310344827586207,10,17,39,33.6,"C","---",1.3,56,"Bore",56,,61.02984745344244,,31.18828125
"3191-0001-QO1","W","001","HW","H","L","Y","Y",40.7,7,3.43980343980344,25,46,100,26,"C","---",1.3,57,"Bore",57,,63.08780853202596,,23.689453125
"3191-0002-QO1","S","004","HW","H","L","N","Y",26.6,7,5.263157894736842,18,45,110,18.2,"C","---",1.3,23,"Bore",23,,27.6763826008979,,
"3191-0002-QO1","S","008","HW","H","O","Y","Y",24.9,6,4.819277108433736,15,44,98,16.8,"C","---",1.3,23,"Bore",23,,27.97971703203225,,31.5436056769554
"3191-0003-DO1","I","004","DR","D","R","Y","Y",6.7,2,5.970149253731343,20,,,9.5,"C","---",1.3,7,"Bore",7,,8.136231983690895,,31.57731213030601
"3191-0003-DO1","I","098","HW","H","L","Y","Y",10.8,4,7.407407407407407,21,50,,8.1,"C","---",1.3,13,"Bore",13,,18.53894335693987,,27.57980948601022
"3191-0003-DO1","I","099","DR","D","T","Y","Y",33.4,7,4.191616766467066,30,96,,13.5,"D","---",1.3,14,"Bore",14,,15.88348658459907,,26.09288435309129
"3191-0003-DO1","N","006","HW","H","L","Y","Y",12.6,4,6.349206349206351,24,51,,11.2,"C","---",1.3,14,"Bore",14,,18.65791765281632,,33.82451967683793
"3191-0003-DO1","W","013","HW","H","L","Y","Y",21.2,6,5.660377358490567,31,74,,12.3,"C","---",1.3,15,"Bore",15,,19.55805360960102,,34.53235601514798
"3191-0004-QO1","E","008","FDC","F","L","Y","Y",65.90000000000001,35,10.62215477996965,7,19,51,52,"D","---",0.8,94,"Bh_cr",92.04465604891934,,97.12855032172908,,38.0859375
"3191-0004-QO1","I","001","FDC","F","R","Y","Y",71.3,37,10.37868162692847,10,25,52,51.8,"C","---",1.3,96,"Bore",96,,101.1623291405015,,37.26918945312499
"3191-0004-QO1","I","002","FDC","F","T","Y","Y",150.5,68,9.036544850498341,8,18,42,64.5,"D","CRC",1.3,102,"Bore",102,,106.570616843628,,44.3909912109375
"3191-0005-QO1","E","005","SS","S","L","N","Y",44.9,7,3.11804008908686,13,33,101,20.2,"C","---",1.3,33,"Bore",33,,39.45527746490551,,
"3191-0005-QO1","I","001","SS","S","T","N","Y",50.9,7,2.750491159135561,19,42,113,21.6,"C","---",1.3,35,"Bore",35,,41.38970966281605,,
"3191-0005-QO1","I","004","HW","H","S","N","Y",22.4,10,8.928571428571429,27,68,107,18.6,"C","---",1.3,31,"Bore",31,,36.58341173944383,,
"3191-0005-QO1","I","099","SS","S","X","Y","Y",45.8,7,3.056768558951966,19,37,91,28,"D","---",1.3,36,"Bore",36,,41.14762428164511,,35.41821170799548
"3191-0005-QO1","S","003","SS","S","L","N","Y",53.2,12,4.511278195488722,21,44,131,23.4,"C","---",1.3,33,"Bore",33,,38.72847466002768,,
"3191-0006-QO1","E","003","HW","H","L","N","Y",41.1,14,6.81265206812652,15,44,86,22.2,"C","---",1.3,60,"Bore",60,,66.68639394928047,,
